C,S,Chiral_Centers,Mol_Weight,Formula
C00075,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,4,484.1411,C9H15N2O15P3
C00076,[Ca+2],0,40.078,Ca
C00077,NCCC[C@H](N)C(=O)O,1,132.161,C5H12N2O2
C00078,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,1,204.2252,C11H12N2O2
C00079,N[C@@H](Cc1ccccc1)C(=O)O,1,165.1891,C9H11NO2
C00080,[H+],0,1.0079,H
C00081,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,4,508.1658,C10H15N4O14P3
C00082,N[C@@H](Cc1ccc(O)cc1)C(=O)O,1,181.1885,C9H11NO3
C00083,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)O,5,853.5803,C24H38N7O19P3S
C00084,CC=O,0,44.0526,C2H4O
C00085,O=P(O)(O)OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O,3,260.1358,C6H13O9P
C00086,NC(N)=O,0,60.0553,CH4N2O
C00087,,0,32.065,S
C00088,O=NO,0,47.0134,HNO2
C00089,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,9,342.2965,C12H22O11
C00090,Oc1ccccc1O,0,110.1106,C6H6O2
C00091,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O,5,867.6069,C25H40N7O19P3S
C00092,O=P(O)(O)OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,4,260.1358,C6H13O9P
C00093,O=P(O)(O)OC[C@H](O)CO,1,172.0737,C3H9O6P
C00094,O=S(O)O,0,82.0791,H2SO3
C00095,OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O,3,180.1559,C6H12O6
