C,S,Chiral_Centers,Mol_Weight,Formula
C12393,Cc1cc(O)c2c3c(=O)c4cccc(O)c4c(=O)c=3c(=[N+]=[N-])c2c1,0,318.283,C18H10N2O4
C12394,CC(=O)O[C@@H]1c2c(c3c(=O)c4cccc(O)c4c(=O)c=3c2=[N+]=[N-])[C@H](O)[C@@H](OC(C)=O)[C@]1(C)O,4,454.3863,C22H18N2O9
C12395,CC[C@H](C)[C@H]1C(=O)O[C@H]2c3cc(C)cc(O)c3C3=C(C(=O)c4c(O[C@H]5C[C@@H](O)[C@@H](O)[C@H](C)O5)cccc4C3=O)N21,7,549.5684,C30H31NO9
C12396,CC1(O)CC(=O)c2c(ccc3c2C(=O)c2cccc(O)c2C3=O)C1,0,322.3115,C19H14O5
C12397,Cc1cc(O)c2c3c(ccc2c1)C(=O)c1c(O)cccc1C3=O,0,304.2962,C19H12O4
C12398,COc1cccc2c1C(=O)c1ccc3cc(C)cc(O)c3c1C2=O,0,318.3228,C20H14O4
C12399,O=C1c2ccc3cc(CO)cc(O)c3c2C(=O)c2cccc(O)c21,0,320.2956,C19H12O5
C12400,COc1cccc2c1C(=O)c1ccc3cc(CO)cc(O)c3c1C2=O,0,334.3222,C20H14O5
C12401,COc1cccc2c1C(=O)C1=C(C2=O)c2c(O)cc(CO)cc2[C@@H](O)[C@@H]1O,2,368.3368,C20H16O7
C12402,C[C@]1(O)CC(=O)c2c(cc(O)c3c2C(=O)c2cccc(O)c2C3=O)C1,1,338.3109,C19H14O6
C12403,C[C@H]1O[C@@H](c2ccc3c(c2O)C(=O)c2c(O)cc4c(c2C3=O)C(=O)C[C@](C)(O)C4)C[C@@H](O)[C@@H]1O,5,468.4527,C25H24O9
C12404,C[C@H]1O[C@@H](c2ccc3c(c2O)C(=O)c2ccc4c(c2C3=O)C(=O)C[C@](C)(O)C4)C[C@@H](O)[C@@H]1O,5,452.4533,C25H24O8
C12405,C[C@@H]1O[C@@H](O[C@@H]2C[C@H](c3ccc4c(c3O)C(=O)c3ccc5c(c3C4=O)C(=O)C[C@](C)(O)C5)O[C@H](C)[C@H]2O)CC[C@@H]1O,8,566.5957,C31H34O10
C12406,C[C@@H]1O[C@@H](O[C@@H]2C[C@H](c3ccc4c(c3O)C(=O)c3ccc5c(c3C4=O)C(=O)C[C@](C)(O)C5)O[C@H](C)[C@H]2O)CC[C@@H]1O[C@H]1C[C@@H](O)[C@H](O)[C@@H](C)O1,12,696.7375,C37H44O13
C12407,C[C@H]1O[C@@H](c2ccc3c(c2O)C(=O)c2cc(O)c4c(c2C3=O)C(=O)C[C@](C)(O)C4)C[C@@H](O)[C@@H]1O,5,468.4527,C25H24O9
C12408,C[C@@H]1O[C@@H](O[C@]23C(=O)C[C@](C)(O)C[C@@]2(O)C=CC2=C3C(=O)c3ccc([C@H]4C[C@@H](O)[C@H](O)[C@@H](C)O4)c(O)c3C2=O)CC[C@@H]1O,10,600.6103,C31H36O12
C12409,C[C@@H]1O[C@@H](O[C@@H]2C[C@H](c3ccc4c(c3O)C(=O)c3cc(O)c5c(c3C4=O)C(=O)C[C@](C)(O)C5)O[C@H](C)[C@H]2O)CC[C@@H]1O[C@H]1C[C@@H](O)[C@H](O)[C@@H](C)O1,12,712.7369,C37H44O14
C12410,C[C@H]1O[C@@H](c2ccc3c(c2O)C(=O)C2=C(C3=O)[C@@]3(O)C(=O)C[C@](C)(O)C[C@@]3(O)C[C@H]2O)C[C@@H](O)[C@@H]1O,8,504.4832,C25H28O11
C12411,C[C@@H]1O[C@@H](O[C@]23C(=O)C[C@](C)(O)C[C@@]2(O)C[C@@H](O)C2=C3C(=O)c3ccc([C@H]4C[C@@H](O[C@H]5CC[C@H](O[C@H]6C[C@@H](O)[C@H](O)[C@@H](C)O6)[C@H](C)O5)[C@H](O)[C@@H](C)O4)c(O)c3C2=O)CC[C@@H]1O,18,862.9098,C43H58O18
C12412,C[C@H]1O[C@@H](c2ccc3c(c2O)C(=O)C2=C(C3=O)[C@@]3(O)C(=O)C[C@](C)(O)C[C@@]3(O)C=C2)C[C@@H](O)[C@@H]1O,7,486.4679,C25H26O10
C12413,C[C@@H]1O[C@@H](O[C@]23C(=O)C[C@](C)(O)C[C@@]2(O)C=CC2=C3C(=O)c3ccc([C@H]4C[C@@H](O[C@H]5CC[C@H](O[C@H]6C[C@@H](O)[C@H](O)[C@@H](C)O6)[C@H](C)O5)[C@H](O)[C@@H](C)O4)c(O)c3C2=O)CC[C@@H]1O,17,844.8945,C43H56O17
C12414,C[C@@H]1O[C@@H](O[C@@H]2C[C@H](c3ccc4c(c3O)C(=O)C3=C(C4=O)[C@@]4(O[C@H]5CC[C@H](O)[C@H](C)O5)C(=O)C[C@](C)(O)C[C@@]4(O)C=C3)O[C@H](C)[C@H]2O)CC[C@@H]1O,13,714.7527,C37H46O14
C12415,COC(=O)Cc1cc2c(c(O)c1C(=O)CC(C)=O)C(=O)c1c(O)cccc1C2=O,0,396.3469,C21H16O8
C12416,CC(=O)CC(=O)c1c(CC(=O)O)cc2c(c1O)C(=O)c1c(O)cccc1C2=O,0,382.3204,C20H14O8
C12417,COC(=O)C1c2cc3c(c(O)c2C(=O)C[C@@]1(C)O)C(=O)c1c(O)cccc1C3=O,1,396.3469,C21H16O8
C12418,COC(=O)Cc1cc2c(c(O)c1C(=O)CC(C)O)C(=O)c1c(O)cccc1C2=O,0,398.3628,C21H18O8
C12419,COC(=O)[C@@H]1c2cc3c(c(O)c2[C@@H](O)C[C@@]1(C)O)C(=O)c1c(O)cccc1C3=O,3,398.3628,C21H18O8
C12420,CCC(=O)CC(=O)c1c(CC(=O)O)cc2c(c1O)C(=O)c1c(O)cccc1C2,0,382.3634,C21H18O7
C12421,CCC(=O)CC(=O)c1c(CC(=O)O)cc2c(c1O)C(=O)c1c(O)cccc1C2=O,0,396.3469,C21H16O8
C12422,CCC(=O)CC(=O)c1c(CC(=O)OC)cc2c(c1O)C(=O)c1c(O)cccc1C2=O,0,410.3735,C22H18O8
C12423,CC[C@@]1(O)CC(=O)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)[C@H]1C(=O)OC,2,410.3735,C22H18O8
C12424,CC[C@@]1(O)C[C@H](O)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)[C@H]1C(=O)OC,3,412.3894,C22H20O8
C12425,CC[C@@]1(O)C[C@H](O)c2c(O)c3c(c(O)c2[C@H]1C(=O)OC)C(=O)c1cccc(O)c1C3=O,3,428.3888,C22H20O9
C12426,CC[C@@]1(O)C[C@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)c2c(O)c3c(c(O)c2[C@H]1C(=O)OC)C(=O)c1cccc(O)c1C3=O,7,557.5458,C28H31NO11
C12427,CC[C@@]1(O)C[C@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)c2c(O)c3c(c(O)c2[C@H]1C(=O)O)C(=O)c1cccc(O)c1C3=O,7,543.5193,C27H29NO11
C12428,CC[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(O)cccc1C3=O,6,499.5098,C26H29NO9
C12429,CC[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(OC)cccc1C3=O,6,513.5363,C27H31NO9
C12430,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,6,529.5357,C27H31NO10
C12431,CC(O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(O)cccc1C3=O,6,515.5092,C26H29NO10
C12432,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(O)cccc1C3=O,6,513.4933,C26H27NO10
C12433,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)([C@H](C)O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,7,529.5357,C27H31NO10
C12434,CC1=C2C(=O)c3c(O)cccc3C=C2C[C@@H](CC(=O)O)O1,1,286.2794,C16H14O5
C12435,C[C@H]1O[C@H](CC(=O)O)CC2=C1C(=O)c1c(O)cccc1C2,2,288.2952,C16H16O5
C12436,C[C@H]1O[C@H](CC(=O)O)CC2=C1C(=O)c1c(O)cccc1C2=O,2,302.2788,C16H14O6
C12437,C[C@H]1O[C@@H]2CC(=O)O[C@@H]2C2=C1C(=O)c1c(ccc([C@H]3C[C@@H](N(C)C)[C@H](O)[C@@H](C)O3)c1O)C2=O,7,457.4731,C24H27NO8
C12439,*[C@H]1C(=O)OC2c3cc(C)cc(O)c3C3=C(C(=O)c4c(O)cccc4C3=O)N21,1,0.0,C20H12NO6R
C12440,OC[C@@H]1CCN2CCC[C@@H]12,2,141.2108,C8H15NO
C12441,*SC(=O)CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)CC(N)=O,0,0.0,C19H20NO10SR
C12442,*SC(=O)CC(=O)CC(=O)CC(=O)CC(O)CC(=O)CC(=O)CC(=O)CC(=O)CC(N)=O,0,0.0,C19H22NO10SR
C12443,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3C[C@H](N)[C@H](O)[C@H](C)O3)O2)c(=O)[nH]c1=O,7,531.3454,C16H27N3O13P2
C12444,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3C[C@](C)(O)[C@H](O)[C@@H](C)O3)O2)c(=O)[nH]c1=O,7,546.3567,C17H28N2O14P2
C12446,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3C[C@@H](O)[C@@H](O)[C@@H](C)O3)O2)c(=O)[nH]c1=O,7,532.3302,C16H26N2O14P2
C12447,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3CC[C@H](O)[C@H](C)O3)O2)c(=O)[nH]c1=O,6,516.3308,C16H26N2O13P2
C12448,COC(=O)[C@@H]1C2CCC(C[C@@H]1O)N2C,2,199.2469,C10H17NO3
C12449,CN1C2CCC1[C@H](C(=O)O)[C@@H](O)C2,2,185.2203,C9H15NO3
C12450,CN1C2CCC1[C@H](C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C2,7,934.7391,C30H49N8O18P3S
C12451,C[C@](O)(CC(=O)O)Cc1ccc2c(c1O)C(=O)c1cccc(O)c1C2=O,1,356.3261,C19H16O7
C12452,CC(=O)OC1CC2CCC(C1)N2C,0,183.2475,C10H17NO2
C12453,CC(=O)OC1CC2CCC(C1)N2C,0,183.2475,C10H17NO2
C12454,c1cncc(C2CCNC(c3cccnc3)C2)c1,0,239.3156,C15H17N3
C12455,NCCCCC=O,0,101.1469,C5H11NO
C12456,CC(C)=CCc1cc(CC(=O)C(=O)O)ccc1O,0,248.2744,C14H16O4
C12457,CC(C)=CCc1cc(C(O)C(=O)O)ccc1O,0,236.2637,C13H16O4
C12458,CC(C)=CCc1cc(C(=O)O)ccc1O,0,206.2378,C12H14O3
C12459,CC(C)=CCc1cc(C=O)ccc1O,0,190.2384,C12H14O2
C12460,*SC(=O)[C@@H](N)C(O)c1ccc(O)c(CC=C(C)C)c1,1,0.0,C14H18NO3SR
C12461,*SC(=O)[C@@H](N)Cc1ccc(O)cc1,1,0.0,C9H10NO2SR
C12462,*SC(=O)[C@@H](N)C(O)c1ccc(O)cc1,1,0.0,C9H10NO3SR
C12463,*SC(=O)[C@@H](N)C(=O)c1ccc(O)cc1,1,0.0,C9H8NO3SR
C12464,*SC(=O)[C@@H](N)C(=O)c1ccc(O)c(C)c1,1,0.0,C10H10NO3SR
C12465,*SC(=O)[C@@H](N)C(=O)c1ccc(O)c(C)c1O,1,0.0,C10H10NO4SR
C12466,Cc1c(O)ccc2c(O)c(N)c(=O)oc12,0,207.1828,C10H9NO4
C12467,*SC(=O)[C@@H](N)C(=O)c1ccc(O)cc1O,1,0.0,C9H8NO4SR
C12468,Nc1c(O)c2ccc(O)cc2oc1=O,0,193.1562,C9H7NO4
C12469,Nc1c(O)c2ccc(O)c(Cl)c2oc1=O,0,227.6012,C9H6ClNO4
C12470,*SC(=O)[C@@H]1CCCN1,1,0.0,C5H8NOSR
C12471,CC(C)=CCc1cc(C(=O)Nc2c(O)c3ccc(O)c(Cl)c3oc2=O)ccc1O,0,415.8237,C21H18ClNO6
C12472,CC(C)=CCc1cc(C(=O)Nc2c(O)c3ccc(O[C@@H]4OC(C)(C)[C@H](O)[C@@H](O)[C@H]4O)c(Cl)c3oc2=O)ccc1O,4,575.9915,C28H30ClNO10
C12473,CO[C@@H]1[C@@H](O)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2Cl)OC1(C)C,4,590.0181,C29H32ClNO10
C12474,CC(C)=CCc1cc(C(=O)Nc2c(O)c3ccc(O)c(C)c3oc2=O)ccc1O,0,395.4052,C22H21NO6
C12475,CC(C)=CCc1cc(C(=O)Nc2c(O)c3ccc(O[C@@H]4OC(C)(C)[C@H](O)[C@@H](O)[C@H]4O)c(C)c3oc2=O)ccc1O,4,555.573,C29H33NO10
C12476,CO[C@@H]1[C@@H](O)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C,4,569.5996,C30H35NO10
C12477,Cc1c(C(=O)O)c[nH]c1C(=O)O,0,169.1348,C7H7NO4
C12478,Cc1c(C(=O)O)c[nH]c1C(=O)Nc1c(O)c2ccc(O)c(C)c2oc1=O,0,358.3023,C17H14N2O7
C12479,Cc1c(C(=O)Nc2c(O)c3ccc(O)c(C)c3oc2=O)c[nH]c1C(=O)Nc1c(O)c2ccc(O)c(C)c2oc1=O,0,547.4697,C27H21N3O10
C12480,CO[C@@H]1[C@@H](O)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4c[nH]c(C(=O)Nc5c(O)c6ccc(O[C@@H]7OC(C)(C)[C@H](OC)[C@@H](O)[C@H]7O)c(C)c6oc5=O)c4C)c(=O)oc3c2C)OC1(C)C,8,895.8585,C43H49N3O18
C12481,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O[C@H]3OC(C)(C)[C@H](O)[C@@H](O)[C@H]3O)O2)c(=O)[nH]c1=O,7,562.3561,C17H28N2O15P2
C12483,*SC(=O)c1ccc[nH]1,0,0.0,C5H4NOSR
C12484,*SC(=O)c1ccc(C)[nH]1,0,0.0,C6H6NOSR
C12486,OB(O)O,0,61.833,H3BO3
C12490,CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12.Cl,0,353.9281,C23H27N. HCl
C12491,O=[N+]([O-])c1c(Cl)cccc1-c1c[nH]cc1Cl,0,257.0728,C10H6Cl2N2O2
C12505,O.O.O.O.O.O.O.O=S(=O)([O-])[O-].[Mg+2],0,246.4746,MgSO4. 7H2O
C12508,CC(C)[C@H]1CC[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1,3,317.4226,C19H27NO3
C12512,COC(=O)[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@]23O[C@@H]2C[C@@]2(C)[C@@H](CC[C@@]24CCC(=O)O4)[C@H]13,8,414.4914,C24H30O6
C12518,O=CCCCC=O,0,100.1158,C5H8O2
C12525,C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,8,292.4562,C19H32O2
C12531,CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1,0,351.4619,C21H21NO2S
C12535,NC[C@H]1CC[C@H](C(=O)O)CC1,2,157.2102,C8H15NO2
C12537,O=C(OCc1ccccc1)c1ccccc1,0,212.2439,C14H12O2
C12538,[Cl-].[NH4+],0,53.4915,NH4Cl
C12539,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1.[Cl-],0,448.0809,C27H42NO2. Cl
C12540,COc1cc(NS(=O)(=O)c2ccc(N)cc2)ncn1,0,280.303,C11H12N4O3S
C12552,CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)Cc1ccccc1)C(C)(C)Cc1ccccc1,0,467.6434,C28H41N3O3
C12554,CC(=O)[O-].[K+],0,98.1423,C2H3O2. K
C12557,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1.Cl.O.[Cl-],2,571.4982,C19H25N6O5S2. HCl. Cl. H2O
C12560,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1.CS(=O)(=O)O,6,766.9465,C38H50N6O5. CH4SO3
C12564,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,0,448.3854,C23H27Cl2N3O2
C12567,[Mg+2].[O-2],0,40.3044,MgO
C12568,[K+].[OH-],0,56.1056,KOH
C12569,[Na+].[OH-],0,39.9971,NaOH
C12570,[O-2].[Zn+2],0,81.4084,ZnO
C12574,CN(C)CCC(c1ccccc1)c1ccccn1.O=C(O)/C=C\C(=O)O,0,356.4156,C16H20N2. C4H4O4
C12580,C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C#N)C[C@]35C)[C@@H]1CC[C@@H]2O,8,329.4333,C20H27NO3
C12590,CCC(C(=O)NC(N)=O)c1ccccc1,0,206.2411,C11H14N2O2
C12599,Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F,2,247.2467,C8H10FN3O3S
C12600,O=S1(=O)OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,0,354.3765,C19H14O5S
C12603,O=C([O-])O.[Na+],0,84.0066,NaHCO3
C12609,CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c([O-])c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C.[Na+],4,634.6062,C31H35N2O11. Na
C12616,COc1nccnc1NS(=O)(=O)c1ccc(N)cc1,0,280.303,C11H12N4O3S
C12621,O=C(O)/C=C/c1cccc(O)c1,0,164.158,C9H8O3
C12622,O=C(O)/C=C/C1=CC=C[C@H](O)[C@@H]1O,2,182.1733,C9H10O4
C12623,O=C(O)/C=C/c1cccc(O)c1O,0,180.1574,C9H8O4
C12624,O=C(O)/C=C/C(=O)/C=C\C=C(\O)C(=O)O,0,212.1562,C9H8O6
C12625,COc1ccc(-c2coc3cc(O[C@@H]4O[C@H](COC(=O)CC(=O)O)[C@@H](O)[C@H](O)[C@H]4O)cc(O)c3c2=O)cc1,5,532.4503,C25H24O13
C12626,O=c1c(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,5,448.3769,C21H20O11
C12627,C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc4c3)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,10,578.5187,C27H30O14
C12628,C[C@@H]1O[C@@H](O[C@H]2[C@H](c3c(O)cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,10,578.5187,C27H30O14
C12629,COc1cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O,10,592.5453,C28H32O14
C12630,C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3cc(O)c4c(=O)cc(-c5ccc(O)c(O)c5)oc4c3)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,10,594.5181,C27H30O15
C12631,O=C1c2c(O)cc(O)cc2OC(O)C1c1ccc(O)cc1,0,288.2522,C15H12O6
C12632,O=C(O)[C@H]1O[C@@H](Oc2cc(O)c3c(=O)cc(-c4ccc(O)c(O)c4)oc3c2)[C@H](O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,10,638.4845,C27H26O18
C12633,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc(O)c1O,0,332.2617,C16H12O8
C12634,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,10,610.5175,C27H30O16
C12635,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,15,772.6581,C33H40O21
C12636,O=C(/C=C/c1ccc(O)cc1)OC[C@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3[C@H](Oc4c(-c5ccc(O)cc5)oc5cc(O)cc(O)c5c4=O)O[C@H](CO)[C@@H](O)[C@@H]3O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,15,918.8008,C42H46O23
C12637,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,9,596.4909,C26H28O16
C12638,O=C(O)CC(=O)OC[C@H]1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@@H](O)[C@@H]1O,5,550.4225,C24H22O15
C12639,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12,5,464.3763,C21H20O12
C12640,O=C(/C=C/c1ccc(O)c(O)c1)OC[C@H]1O[C@@H](Oc2cc3c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)cc3[o+]c2-c2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,10,757.6682,C36H37O18
C12641,O=C(O)CC(=O)OC[C@H]1O[C@@H](Oc2cc(O)cc3[o+]c(-c4ccc(O)cc4)c(O[C@@H]4O[C@H](COC(=O)/C=C/c5ccc(O)c(O)c5)[C@@H](O)[C@H](O)[C@H]4O)cc23)[C@H](O)[C@@H](O)[C@@H]1O,10,843.7144,C39H39O21
C12642,O=C(O)CC(=O)OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,5,519.4316,C24H23O13
C12643,O=C(O)CC(=O)OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O,5,535.431,C24H23O14
C12644,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3cc4c(O)cc(O)cc4[o+]c3-c3ccc(O)cc3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,10,579.5266,C27H31O14
C12645,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3cc4c(O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)cc(O)cc4[o+]c3-c3ccc(O)cc3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,15,741.6672,C33H41O19
C12646,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3cc4c(O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)cc(O)cc4[o+]c3-c3ccc(O)c(O)c3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,15,757.6666,C33H41O20
C12647,O=C(O)CC(=O)OC[C@H]1O[C@@H](Oc2cc(O)cc3[o+]c(-c4ccc(O)cc4)c(O[C@@H]4O[C@H](COC(=O)/C=C/c5ccc(O)c(O)c5)[C@@H](O)[C@H](O)[C@H]4O)cc23)[C@H](O)[C@@H](O)[C@@H]1OC(=O)CC(=O)O,10,929.7605,C42H41O24
C12649,O.O=C(O)CC(O)(CC(=O)O)C(=O)O,0,210.1388,C6H8O7. H2O
C12650,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,4,359.3501,C15H22FN3O6
C12656,CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,9,434.4977,C24H31FO6
C12661,CC(C)(CO)C(O)C(=O)NCCC(=O)NCCSSCCNC(=O)CCNC(=O)C(O)C(C)(C)CO,0,554.7209,C22H42N4O8S2
C12662,CO[C@@H]1[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](OC(=O)CC(C)C)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)[C@@H](O)/C=C/C=C/C[C@@H](C)OC(=O)C[C@H]1OC(C)=O,16,827.995,C42H69NO15
C12666,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)[O-].[NaH2-],7,482.4986,C25H31O8. Na
C12667,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,10,626.5169,C27H30O17
C12668,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,15,788.6575,C33H40O22
C12669,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@]4(C)[C@H]5C[C@@H](O)[C@]6(C)[C@@H](C7=CC(=O)OC7)CC[C@]6(O)[C@@H]5CC[C@@H]4C3)O[C@@H]2C)C[C@H](O)[C@@H]1O[C@H]1C[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](C)O1,26,943.0791,C47H74O19
C12673,O=c1[nH]c(=O)n(C2CCCO2)cc1F,0,200.1671,C8H9FN2O3
